date,rating,ulasan_mentah,text,sentiment
N/A,0,Saya kecewa sudah nunggu lebih dari 1 jam ternyata barang tidak ada jelek,saya kecewa sudah nungu lebih dari jam nyata barang tidak ada jelek,negative
N/A,0,"Kecewaaaa buangeeett ke sini, baru pertama kali kesini saya jauh datang dr luar kota. Hp yg sy order awalnya bilangnya ada, ternyata hpnya zonk. Parahnya lagi sy sudah nggu lebih dari satu jam. Kecewwaaaa....",kecewa banget ke sini baru pertama kali kesini saya jauh datang dari luar kota hp yang saya order awal bilang ada nyata hpnya zonk parah lagi saya sudah ngu lebih dari satu jam kecewa,negative
N/A,0,"Saya beli hp katanya ada mulai sebelum maghrib sampai habis isya ternyata barang tidak ada, tipu tipu",saya beli hp kata ada mulai belum maghrib sampai habis isya nyata barang tidak ada tipu tipu,negative
N/A,0,Pelayanan ramah dan baik sekali,layan ramah dan baik sekali,positive
N/A,0,"Punya pengalaman beli iPhone yang cukup mengecewakan di ‘toko sebelah’ area suhat yang lebih besar dan punya nama. Syukurlah disini baik banget mbak yang bantu ngecek, informatif, dan tanggap. Thankyou mbak Via. Ga sempet moto mbaknya. Tapi aku pelanggan yg akan loyal kalau pelayanan baik. Pastinya akan memilih beli disini kalau cari iPhone lagi.",punya alam beli iphone yang cukup kecewa di toko belah area suhat yang lebih besar dan punya nama syukur sini baik banget mbak yang bantu ecek informatif dan tangap thankyou mbak via enggak sempat moto mbak tapi aku pelang yang akan loyal kalau layan baik pasti akan pilih beli sini kalau cari iphone lagi,negative
N/A,0,Pelayanan mantap,layan mantap,negative
N/A,0,Pelayanan ramah mbanya juga cekatan klo jelasin produk,layan ramah mbak juga cekat kalo jelasin produk,positive
N/A,0,Pelayanan bagus dan terpercaya,layan bagus dan percaya,positive
N/A,0,"Pelayanan nya cepat dan ramah, customer service nya menjelaskan dengan detail, tempat nya luas dan bersih",layan nya cepat dan ramah customer service nya jelas dengan detail tempat nya luas dan bersih,positive
N/A,0,Terima kasih mas rossi pelayanan dan konfirmasinya sangat cepat,terima kasih mas ros layan dan konfirmasi sangat cepat,positive
N/A,0,"Pelayanan tanggap, cekatan, solutif dan sangat membantu customer.Senang rasanya bisa berbelanja disini Pasti akan kembali lagi. Terima kasih",layan tangap cekat solutif dan sangat bantu customer senang rasa bisa belanja sini pasti akan kembali lagi terima kasih,positive
N/A,0,Pegawainya ramah2.. Sudah bberapa kali beli handphone dsini alhamdulillah sll d layani dgn baik,pegawai ramah sudah berapa kali beli handphone sini alhamdulilah sl di layan dengan baik,positive
N/A,0,Mantap pelayanannya,mantap pelayananya,positive
N/A,0,"Beliii tab samsung di handle mba rika Aku tanya ini ituuu, Penjelasan detil bgt hihi Thanksss tiga putra",beli tab samsung di handle mbak rika aku tanya ini itu jelas detil banget hihi thanks tiga putra,positive
N/A,0,"kakak pegawainya ramah, banyak bantu bantu juga",kakak pegawai ramah banyak bantu bantu juga,positive
N/A,0,Barang lengkap banget pelayanan ramah apalagi yang layanin mas nya ganteng banget makasi ya mas bintang atas pelayananya,barang lengkap banget layan ramah apalagi yang layanin mas nya ganteng banget terima kasih ya mas bintang atas pelayananya,positive
N/A,0,Sangat bagus pelayanan sales nya ramah dan info diberi sangat banyak dan sangat luas,sangat bagus layan sales nya ramah dan info beri sangat banyak dan sangat luas,positive
N/A,0,Pelayanan nya bagus ramah Bisa kredit juga Bebas parkir,layan nya bagus ramah bisa kredit juga bebas parkir,positive
N/A,0,Sangat ramah dan baik,sangat ramah dan baik,positive
N/A,0,Pelayanan sangat baik ramah dan humoris harga lebih murah di banding dengan yang lain... Mantap,layan sangat baik ramah dan humoris harga lebih murah di banding dengan yang lain mantap,positive
N/A,0,pelayanan nya bagus ramah tamah..tempat bersih nyaman,layan nya bagus ramah tamah tempat bersih nyaman,positive
N/A,0,"Tempatnya nyaman,pelayananan ramah dan memuaskan.",tempat nyaman pelayananan ramah dan muas,positive
N/A,0,Sangat memuaskan belanja di tigaputra pelayanan ramah produknya di jelaskan secara detail dan berkali kali belanja di sini sangat puas,sangat muas belanja di tigaputra layan ramah produk di jelas cara detail dan kali kali belanja di sini sangat puas,positive
N/A,0,"Terimakasih tiga putra semoga sukses selalu, pelayanan yg memuaskan sekali thank you kak",terimakasih tiga putra moga sukses selalu layan yang muas sekali thank you kak,positive
N/A,0,Pelayanan sangat baik,layan sangat baik,positive
N/A,0,Pelayanan ramah dan sangat puas sekali,layan ramah dan sangat puas sekali,positive
N/A,0,Terbaik pokok nya trims,baik pokok nya terima kasih,positive
N/A,0,Pelayanannya bagus semua..,pelayananya bagus semua,positive
