Ulasan_Mentah;processed_text;hasil_validator
Saya kecewa sudah nunggu lebih dari 1 jam ternyata barang tidak ada jelek;saya kecewa sudah nungu lebih dari jam nyata barang tidak ada jelek;negative
Kecewaaaa buangeeett ke sini, baru pertama kali kesini saya jauh datang dr luar kota. Hp yg sy order awalnya bilangnya ada, ternyata hpnya zonk. Parahnya lagi sy sudah nggu lebih dari satu jam. Kecewwaaaa....;kecewa banget ke sini baru pertama kali kesini saya jauh datang dari luar kota hp yang saya order awal bilang ada nyata hpnya zonk parah lagi saya sudah ngu lebih dari satu jam kecewa;negative
Saya beli hp katanya ada mulai sebelum maghrib sampai habis isya ternyata barang tidak ada, tipu tipu;saya beli hp kata ada mulai belum maghrib sampai habis isya nyata barang tidak ada tipu tipu;negative
Pelayanan ramah dan baik sekali;layan ramah dan baik sekali;positive
Punya pengalaman beli iPhone yang cukup mengecewakan di ‘toko sebelah’ area suhat yang lebih besar dan punya nama. Syukurlah disini baik banget mbak yang bantu ngecek, informatif, dan tanggap. Thankyou mbak Via. Ga sempet moto mbaknya. Tapi aku pelanggan yg akan loyal kalau pelayanan baik. Pastinya akan memilih beli disini kalau cari iPhone lagi.;punya alam beli iphone yang cukup kecewa di toko belah area suhat yang lebih besar dan punya nama syukur sini baik banget mbak yang bantu ecek informatif dan tangap thankyou mbak via enggak sempat moto mbak tapi aku pelang yang akan loyal kalau layan baik pasti akan pilih beli sini kalau cari iphone lagi;negative
"Pelayanan okey, gercep, mbak""nya ramah dan memuaskan, worth it pokoknyaa ✨";layan okey gercep mbak nya ramah dan muas worth itu pokoknyaa;neutral
Pelayanan mantap;layan mantap;negative
Pelayanan ramah mbanya juga cekatan klo jelasin produk;layan ramah mbak juga cekat kalo jelasin produk;positive
Pelayanan bagus dan terpercaya;layan bagus dan percaya;positive
Tiga putra terbaik...;tiga putra baik;neutral
Sangat puas dgn pelayanan service, cuma agak kecewa dgn pembayaran kartu kredit yg ada tambahan charge 2.5% Dari harga barang ya, walaupun akhirnya bisa nego untuk dapat diskon tanpa tambahan charge 2.5%. Terima kasih dgn pelayanan yang ramah dan sopan.;sangat puas dengan layan service cuma agak kecewa dengan bayar kartu kredit yang ada tambah charge dari harga barang ya walaupun akhir bisa nego untuk dapat diskon tanpa tambah charge terima kasih dengan layan yang ramah dan sopan;neutral
Pelayanan nya cepat dan ramah, customer service nya menjelaskan dengan detail, tempat nya luas dan bersih;layan nya cepat dan ramah customer service nya jelas dengan detail tempat nya luas dan bersih;positive
Terima kasih mas rossi pelayanan dan konfirmasinya sangat cepat;terima kasih mas ros layan dan konfirmasi sangat cepat;positive
Sudah langganan beli sini , mantab;sudah langanan beli sini mantab;neutral
Pelayanan tanggap, cekatan, solutif dan sangat membantu customer.Senang rasanya bisa berbelanja disini Pasti akan kembali lagi. Terima kasih;layan tangap cekat solutif dan sangat bantu customer senang rasa bisa belanja sini pasti akan kembali lagi terima kasih;positive
Pegawainya ramah2.. Sudah bberapa kali beli handphone dsini alhamdulillah sll d layani dgn baik;pegawai ramah sudah berapa kali beli handphone sini alhamdulilah sl di layan dengan baik;positive
Mantap pelayanannya;mantap pelayananya;positive
Pelayanan nyaman sat set;layan nyaman sat set;neutral
Pelayanan sangat sampai diantar bekerja;layan sangat sampai antar kerja;neutral
Beliii tab samsung di handle mba rika Aku tanya ini ituuu, Penjelasan detil bgt hihi Thanksss tiga putra;beli tab samsung di handle mbak rika aku tanya ini itu jelas detil banget hihi thanks tiga putra;positive
kakak pegawainya ramah, banyak bantu bantu juga;kakak pegawai ramah banyak bantu bantu juga;positive
Barang lengkap banget pelayanan ramah apalagi yang layanin mas nya ganteng banget makasi ya mas bintang atas pelayananya;barang lengkap banget layan ramah apalagi yang layanin mas nya ganteng banget terima kasih ya mas bintang atas pelayananya;positive
andalan;andal;neutral
Pelayanan ramah diantar sampe rumah;layan ramah antar sampai rumah;neutral
Sangat bagus pelayanan sales nya ramah dan info diberi sangat banyak dan sangat luas;sangat bagus layan sales nya ramah dan info beri sangat banyak dan sangat luas;positive
Mantapppp;mantap;neutral
Pelayanan nya bagus ramah Bisa kredit juga Bebas parkir;layan nya bagus ramah bisa kredit juga bebas parkir;positive
Sangat ramah dan baik;sangat ramah dan baik;positive
