text,sentiment_before,sentiment_after
Saya kecewa sudah nunggu lebih dari 1 jam ternyata barang tidak ada jelek,negative,negative
"Kecewaaaa buangeeett ke sini, baru pertama kali kesini saya jauh datang dr luar kota. Hp yg sy order awalnya bilangnya ada, ternyata hpnya zonk. Parahnya lagi sy sudah nggu lebih dari satu jam. Kecewwaaaa....",negative,negative
"Saya beli hp katanya ada mulai sebelum maghrib sampai habis isya ternyata barang tidak ada, tipu tipu",negative,negative
Pelayanan ramah dan baik sekali,positive,positive
"Punya pengalaman beli iPhone yang cukup mengecewakan di ‘toko sebelah’ area suhat yang lebih besar dan punya nama. Syukurlah disini baik banget mbak yang bantu ngecek, informatif, dan tanggap. Thankyou mbak Via. Ga sempet moto mbaknya. Tapi aku pelanggan yg akan loyal kalau pelayanan baik. Pastinya akan memilih beli disini kalau cari iPhone lagi.",negative,negative
"Pelayanan okey, gercep, mbak""nya ramah dan memuaskan, worth it pokoknyaa ✨",positive,positive
Pelayanan mantap,positive,positive
Pelayanan ramah mbanya juga cekatan klo jelasin produk,positive,positive
Pelayanan bagus dan terpercaya,positive,positive
Tiga putra terbaik...,positive,positive
"Sangat puas dgn pelayanan service, cuma agak kecewa dgn pembayaran kartu kredit yg ada tambahan charge 2.5% Dari harga barang ya, walaupun akhirnya bisa nego untuk dapat diskon tanpa tambahan charge 2.5%. Terima kasih dgn pelayanan yang ramah dan sopan.",positive,positive
"Pelayanan nya cepat dan ramah, customer service nya menjelaskan dengan detail, tempat nya luas dan bersih",positive,positive
Terima kasih mas rossi pelayanan dan konfirmasinya sangat cepat,positive,positive
"Sudah langganan beli sini , mantab",positive,positive
"Pelayanan tanggap, cekatan, solutif dan sangat membantu customer.Senang rasanya bisa berbelanja disini Pasti akan kembali lagi. Terima kasih",positive,positive
Pegawainya ramah2.. Sudah bberapa kali beli handphone dsini alhamdulillah sll d layani dgn baik,positive,positive
Mantap pelayanannya,positive,positive
Pelayanan nyaman sat set,positive,positive
Pelayanan sangat sampai diantar bekerja,negative,negative
"Beliii tab samsung di handle mba rika Aku tanya ini ituuu, Penjelasan detil bgt hihi Thanksss tiga putra",positive,positive
"kakak pegawainya ramah, banyak bantu bantu juga",neutral,positive
Barang lengkap banget pelayanan ramah apalagi yang layanin mas nya ganteng banget makasi ya mas bintang atas pelayananya,positive,positive
andalan,neutral,positive
Pelayanan ramah diantar sampe rumah,positive,positive
Sangat bagus pelayanan sales nya ramah dan info diberi sangat banyak dan sangat luas,negative,positive
Mantapppp,neutral,positive
Pelayanan nya bagus ramah Bisa kredit juga Bebas parkir,neutral,positive
Sangat ramah dan baik,positive,positive
Pelayanan sangat baik ramah dan humoris harga lebih murah di banding dengan yang lain... Mantap,positive,positive
"Kalau bisa kasih bintang 10 tak kasih bintang 10 deh, pelayanan kak avia ramah banget, dan di kasih banyak gift juga pokoknya",positive,positive
pelayanan nya bagus ramah tamah..tempat bersih nyaman,positive,positive
"Tempatnya nyaman,pelayananan ramah dan memuaskan.",positive,positive
Sangat memuaskan belanja di tigaputra pelayanan ramah produknya di jelaskan secara detail dan berkali kali belanja di sini sangat puas,positive,positive
Sipp,neutral,neutral
"Terimakasih tiga putra semoga sukses selalu, pelayanan yg memuaskan sekali thank you kak",positive,positive
Pelayanan sangat baik,positive,positive
Pelayanan ramah dan sangat puas sekali,positive,positive
Terbaik pokok nya trims,positive,positive
Pelayanannya bagus semua..,negative,negative
"Niatnya ingin beli aksesoris berangkat kantor, tapi ragu ada yang buka dan sejalan. rupanya setelah lewat kawi ada toko ini buka di jam 8 an pagi.",negative,negative
pelayanan sgt lma,positive,positive
Pelayanan ramah mas bintang nya,positive,positive
stok lengkap ramah,negative,negative
"Mbak dan mas nya sangat membantu sekali,mas uki sama mbak febri",neutral,positive
Sangat memuaskan pelayanannya,negative,negative
Pelayanannya cepat dan staff ramah,positive,positive
toko hp termurah dan terlengkap di kota malang,negative,negative
"Pelayanan ramah, produk terlengkap, tempatnya nyaman. Pokoknya the best",positive,positive
"Pelayanan ramah, sigap dan paling penting barang dijamin ori",positive,positive
