processed_text,sentiment
kecewa nungu lebih jam nyata barang jelek,neutral
kecewa banget sini baru pertama kali kesini jauh datang luar kota hp order awal bilang nyata hpnya zonk parah ngu lebih satu jam kecewa,negative
beli hp kata mulai maghrib habis isya nyata barang tipu tipu,negative
layan ramah baik,neutral
punya alam beli iphone cukup kecewa toko belah area suhat lebih besar punya nama syukur sini baik banget mbak bantu ecek informatif tangap thankyou mbak via enggak sempat moto mbak aku pelang loyal kalau layan baik pasti pilih beli sini kalau cari iphone,neutral
layan okey gercep mbak nya ramah muas worth pokoknyaa,positive
layan mantap,positive
layan ramah mbak cekat kalo jelasin produk,positive
layan percaya,positive
baik,neutral
sangat puas layan service cuma kecewa bayar kartu kredit tambah charge harga barang walaupun akhir nego diskon tambah charge terima kasih layan ramah sopan,positive
layan nya cepat ramah customer service nya jelas detail tempat nya luas bersih,positive
terima kasih mas ros layan konfirmasi sangat cepat,positive
langanan beli sini mantab,neutral
layan tangap cekat solutif sangat bantu customer senang rasa belanja sini terima kasih,neutral
pegawai ramah berapa kali beli handphone sini alhamdulilah sl layan baik,positive
mantap pelayananya,positive
layan nyaman sat set,positive
layan sangat antar kerja,positive
beli tab samsung handle mbak rika aku tanya jelas detil banget hihi thanks,positive
kakak pegawai ramah banyak bantu bantu,positive
barang lengkap banget layan ramah layanin mas nya ganteng banget terima kasih mas bintang atas pelayananya,positive
andal,neutral
layan ramah antar rumah,positive
sangat layan sales nya ramah info beri sangat banyak sangat luas,neutral
mantap,positive
layan nya ramah kredit bebas parkir,neutral
sangat ramah baik,neutral
layan sangat baik ramah humoris harga lebih murah banding mantap,positive
kalau kasih bintang tak kasih bintang deh layan kak avia ramah banget kasih banyak gift pokok,neutral
layan nya ramah tamah tempat bersih nyaman,neutral
tempat nyaman pelayananan ramah muas,positive
sangat muas belanja tigaputra layan ramah produk jelas detail kali kali belanja sini sangat puas,positive
sip,neutral
terimakasih moga sukses selalu layan muas thank you kak,positive
layan sangat baik,neutral
layan ramah sangat puas,positive
baik pokok nya terima kasih,positive
pelayananya semua,negative
niat beli aksesoris berangkat kantor ragu buka jalan rupa lewat toko buka jam an pagi,negative
layan sangat lama,negative
layan ramah mas bintang nya,neutral
stok lengkap ramah,negative
mbak mas nya sangat bantu mas uki sama mbak febri,positive
sangat muas pelayananya,positive
pelayananya cepat staf ramah,neutral
toko hp murah lengkap kota,negative
layan ramah produk lengkap tempat nyaman pokok the best,positive
layan ramah sigap paling penting barang jamin orisinal,neutral
satu nya toko hp milik baik hati suka misuh,positive
beberapa kali beli sini tempat bersih nyaman service excelence pokok,neutral
toko oke layan ramah jelas spek hp,positive
asesoriesnya lengkap,neutral
produk lengkap layan ramah hrg oke,positive
the best handphone shop highly recomended,neutral
lengkap mantap,positive
toko handphone lengkap parkir nya luas tengah kota,positive
pelayananya baik custamer ramah tamah,neutral
layan super ramah excelent service welconedrink camil tani aku pindah data hehe,negative
hp nya keren keren garansi mutu jamin servis nya baik,neutral
koko punya baik ceriah orang beli hp kasih gratis voucer karaoke tq,positive
pusat gadget lengkap layan ramah letak tengah kota parkir luas,positive
sangat ramah harga sahabat,positive
enggak sangka toko hape lengkap pelayananya sigap cekat senang beli hape incar sini,neutral
langanan sini sejak tahun lalu service harga lengkap mantap,positive
pelayananya ramah harga jerjangkau tempat nyaman,positive
kece drama kolosal rama sinta by tim,negative
selamat ualang tahun tam moga tambah sukses,positive
seru banget acara buat ngisi malming,positive
ramah ramah banget orang nya tunjuk nya banget,positive
acara sendratari tam vaganza keren banget,positive
pelayananya ramah mantap,positive
layan sangat baik,neutral
layan sangat baik ramaharga jangkau include garansi toko baik,neutral
enggak masuk akal,negative
muas terimakasih,positive
layan cepat ramah harga saing butuh handphone,neutral
layan mantap habis pokok,positive
layan sangat cepat muas ruang sangat nyaman,positive
tadi sore kesana beli hp layan baik rama terimahkasih,positive
layan baik,neutral
layan muas,positive
layan sangat baik mas mbak nya ramah pilih hp nya banyak,negative
layan baik solutif,neutral
layan ramah muas,positive
good job,positive
baik,neutral
seru,neutral
mantap,positive
excelent for service,neutral
terima kasih mbak gayatri layan baik ramah,positive
good service,positive
baik layan pramuniaga,neutral
keren layan banget cepat ramah,positive
layan baik ramah barang pasti jangan ragu beli top,neutral
layan baik,neutral
customer servicenya baik welcome pertama masuk terimakasih atas pelayananya sangat baik,neutral
layan nya ramah,neutral
