date,rating,sentiment,text
10/10/2025,1,neutral,Saya kecewa sudah nunggu lebih dari 1 jam ternyata barang tidak ada jelek
10/10/2025,1,negative,"Kecewaaaa buangeeett ke sini, baru pertama kali kesini saya jauh datang dr luar kota. Hp yg sy order awalnya bilangnya ada, ternyata hpnya zonk. Parahnya lagi sy sudah nggu lebih dari satu jam. Kecewwaaaa...."
10/10/2025,1,negative,"Saya beli hp katanya ada mulai sebelum maghrib sampai habis isya ternyata barang tidak ada, tipu tipu"
06/10/2025,5,neutral,Pelayanan ramah dan baik sekali
04/10/2025,5,neutral,"Punya pengalaman beli iPhone yang cukup mengecewakan di ‘toko sebelah’ area suhat yang lebih besar dan punya nama. Syukurlah disini baik banget mbak yang bantu ngecek, informatif, dan tanggap. Thankyou mbak Via. Ga sempet moto mbaknya. Tapi aku pelanggan yg akan loyal kalau pelayanan baik. Pastinya akan memilih beli disini kalau cari iPhone lagi."
03/10/2025,5,positive,"Pelayanan okey, gercep, mbak""nya ramah dan memuaskan, worth it pokoknyaa ✨"
03/10/2025,5,positive,Pelayanan mantap
02/10/2025,5,positive,Pelayanan ramah mbanya juga cekatan klo jelasin produk
02/10/2025,5,positive,Pelayanan bagus dan terpercaya
29/09/2025,5,neutral,Tiga putra terbaik...
29/09/2025,5,positive,"Sangat puas dgn pelayanan service, cuma agak kecewa dgn pembayaran kartu kredit yg ada tambahan charge 2.5% Dari harga barang ya, walaupun akhirnya bisa nego untuk dapat diskon tanpa tambahan charge 2.5%. Terima kasih dgn pelayanan yang ramah dan sopan."
27/09/2025,5,positive,"Pelayanan nya cepat dan ramah, customer service nya menjelaskan dengan detail, tempat nya luas dan bersih"
27/09/2025,5,positive,Terima kasih mas rossi pelayanan dan konfirmasinya sangat cepat
27/09/2025,5,neutral,"Sudah langganan beli sini , mantab"
27/09/2025,5,neutral,"Pelayanan tanggap, cekatan, solutif dan sangat membantu customer.Senang rasanya bisa berbelanja disini Pasti akan kembali lagi. Terima kasih"
27/09/2025,5,positive,Pegawainya ramah2.. Sudah bberapa kali beli handphone dsini alhamdulillah sll d layani dgn baik
24/09/2025,5,positive,Mantap pelayanannya
22/09/2025,5,positive,Pelayanan nyaman sat set
22/09/2025,5,positive,Pelayanan sangat sampai diantar bekerja
22/09/2025,5,positive,"Beliii tab samsung di handle mba rika Aku tanya ini ituuu, Penjelasan detil bgt hihi Thanksss tiga putra"
22/09/2025,5,positive,"kakak pegawainya ramah, banyak bantu bantu juga"
20/09/2025,5,positive,Barang lengkap banget pelayanan ramah apalagi yang layanin mas nya ganteng banget makasi ya mas bintang atas pelayananya
20/09/2025,5,neutral,andalan
20/09/2025,5,positive,Pelayanan ramah diantar sampe rumah
18/09/2025,5,neutral,Sangat bagus pelayanan sales nya ramah dan info diberi sangat banyak dan sangat luas
18/09/2025,5,positive,Mantapppp
18/09/2025,5,neutral,Pelayanan nya bagus ramah Bisa kredit juga Bebas parkir
17/09/2025,5,neutral,Sangat ramah dan baik
17/09/2025,5,positive,Pelayanan sangat baik ramah dan humoris harga lebih murah di banding dengan yang lain... Mantap
17/09/2025,5,neutral,"Kalau bisa kasih bintang 10 tak kasih bintang 10 deh, pelayanan kak avia ramah banget, dan di kasih banyak gift juga pokoknya"
17/09/2025,5,neutral,pelayanan nya bagus ramah tamah..tempat bersih nyaman
16/09/2025,5,positive,"Tempatnya nyaman,pelayananan ramah dan memuaskan."
16/09/2025,5,positive,Sangat memuaskan belanja di tigaputra pelayanan ramah produknya di jelaskan secara detail dan berkali kali belanja di sini sangat puas
16/09/2025,5,neutral,Sipp
15/09/2025,5,positive,"Terimakasih tiga putra semoga sukses selalu, pelayanan yg memuaskan sekali thank you kak"
