date,rating,text,sentiment
10/10/2025,1,Saya kecewa sudah nunggu lebih dari 1 jam ternyata barang tidak ada jelek,positive
10/10/2025,1,"Kecewaaaa buangeeett ke sini, baru pertama kali kesini saya jauh datang dr luar kota. Hp yg sy order awalnya bilangnya ada, ternyata hpnya zonk. Parahnya lagi sy sudah nggu lebih dari satu jam. Kecewwaaaa....",negative
10/10/2025,1,"Saya beli hp katanya ada mulai sebelum maghrib sampai habis isya ternyata barang tidak ada, tipu tipu",positive
06/10/2025,5,Pelayanan ramah dan baik sekali,positive
04/10/2025,5,"Punya pengalaman beli iPhone yang cukup mengecewakan di ‘toko sebelah’ area suhat yang lebih besar dan punya nama. Syukurlah disini baik banget mbak yang bantu ngecek, informatif, dan tanggap. Thankyou mbak Via. Ga sempet moto mbaknya. Tapi aku pelanggan yg akan loyal kalau pelayanan baik. Pastinya akan memilih beli disini kalau cari iPhone lagi.",positive
03/10/2025,5,"Pelayanan okey, gercep, mbak""nya ramah dan memuaskan, worth it pokoknyaa ✨",positive
03/10/2025,5,Pelayanan mantap,positive
02/10/2025,5,Pelayanan ramah mbanya juga cekatan klo jelasin produk,positive
02/10/2025,5,Pelayanan bagus dan terpercaya,positive
29/09/2025,5,Tiga putra terbaik...,positive
29/09/2025,5,"Sangat puas dgn pelayanan service, cuma agak kecewa dgn pembayaran kartu kredit yg ada tambahan charge 2.5% Dari harga barang ya, walaupun akhirnya bisa nego untuk dapat diskon tanpa tambahan charge 2.5%. Terima kasih dgn pelayanan yang ramah dan sopan.",positive
27/09/2025,5,"Pelayanan nya cepat dan ramah, customer service nya menjelaskan dengan detail, tempat nya luas dan bersih",positive
27/09/2025,5,Terima kasih mas rossi pelayanan dan konfirmasinya sangat cepat,positive
27/09/2025,5,"Sudah langganan beli sini , mantab",positive
27/09/2025,5,"Pelayanan tanggap, cekatan, solutif dan sangat membantu customer.Senang rasanya bisa berbelanja disini Pasti akan kembali lagi. Terima kasih",positive
27/09/2025,5,Pegawainya ramah2.. Sudah bberapa kali beli handphone dsini alhamdulillah sll d layani dgn baik,positive
24/09/2025,5,Mantap pelayanannya,positive
22/09/2025,5,Pelayanan nyaman sat set,positive
22/09/2025,5,Pelayanan sangat sampai diantar bekerja,positive
22/09/2025,5,"Beliii tab samsung di handle mba rika Aku tanya ini ituuu, Penjelasan detil bgt hihi Thanksss tiga putra",positive
22/09/2025,5,"kakak pegawainya ramah, banyak bantu bantu juga",positive
20/09/2025,5,Barang lengkap banget pelayanan ramah apalagi yang layanin mas nya ganteng banget makasi ya mas bintang atas pelayananya,positive
20/09/2025,5,andalan,negative
20/09/2025,5,Pelayanan ramah diantar sampe rumah,positive
18/09/2025,5,Sangat bagus pelayanan sales nya ramah dan info diberi sangat banyak dan sangat luas,positive
18/09/2025,5,Mantapppp,positive
18/09/2025,5,Pelayanan nya bagus ramah Bisa kredit juga Bebas parkir,positive
17/09/2025,5,Sangat ramah dan baik,positive
17/09/2025,5,Pelayanan sangat baik ramah dan humoris harga lebih murah di banding dengan yang lain... Mantap,positive
17/09/2025,5,"Kalau bisa kasih bintang 10 tak kasih bintang 10 deh, pelayanan kak avia ramah banget, dan di kasih banyak gift juga pokoknya",positive
17/09/2025,5,pelayanan nya bagus ramah tamah..tempat bersih nyaman,positive
16/09/2025,5,"Tempatnya nyaman,pelayananan ramah dan memuaskan.",positive
16/09/2025,5,Sangat memuaskan belanja di tigaputra pelayanan ramah produknya di jelaskan secara detail dan berkali kali belanja di sini sangat puas,positive
16/09/2025,5,Sipp,positive
15/09/2025,5,"Terimakasih tiga putra semoga sukses selalu, pelayanan yg memuaskan sekali thank you kak",positive
15/09/2025,5,Pelayanan sangat baik,positive
15/09/2025,5,Pelayanan ramah dan sangat puas sekali,positive
15/09/2025,5,Terbaik pokok nya trims,positive
15/09/2025,5,Pelayanannya bagus semua..,negative
15/09/2025,5,"Niatnya ingin beli aksesoris berangkat kantor, tapi ragu ada yang buka dan sejalan. rupanya setelah lewat kawi ada toko ini buka di jam 8 an pagi.",negative
14/09/2025,1,pelayanan sgt lma,negative
14/09/2025,5,Pelayanan ramah mas bintang nya,positive
14/09/2025,5,stok lengkap ramah,negative
14/09/2025,5,"Mbak dan mas nya sangat membantu sekali,mas uki sama mbak febri",positive
14/09/2025,5,Sangat memuaskan pelayanannya,positive
14/09/2025,5,Pelayanannya cepat dan staff ramah,negative
13/09/2025,5,toko hp termurah dan terlengkap di kota malang,negative
13/09/2025,5,"Pelayanan ramah, produk terlengkap, tempatnya nyaman. Pokoknya the best",positive
13/09/2025,5,"Pelayanan ramah, sigap dan paling penting barang dijamin ori",positive
13/09/2025,5,"Satu2nya toko hp yang pemiliknya baik hati, tidak suka misuh2",positive
13/09/2025,5,"Udah beberapa kali beli disini, tempatnya bersih & nyaman. Service excellence pokoknya",positive
13/09/2025,5,Toko oke pelayanan dan ramah dalam menjelaskan spek hp,positive
13/09/2025,5,Assesoriesnya lengkap,positive
13/09/2025,5,"Produk lengkap, pelayanan ramah dan hrg oke",positive
13/09/2025,5,The best Handphone Shop in Malang Highly recommended,positive
13/09/2025,5,Lengkap mantap,positive
13/09/2025,5,"Toko handphone terlengkap , parkir nya luas di tengah kota malang",positive
13/09/2025,5,"Pelayanannya Baik terhadap Custamer , Ramah Tamah.",positive
13/09/2025,5,Pelayanan super ramah dan Excellent service Dapat welconedrink dan camilan untuk menemani aku yang lagi Pindah data hehe,negative
13/09/2025,5,"HP nya keren keren, garansi mutu terjamin, servis nya baik sekali",positive
13/09/2025,5,Koko yg punya baik dan ceriah orangnya.beli hp dikasih gratis voucer karaoke. Tq 3 putra,positive
13/09/2025,5,"Pusat Gadget terlengkap , pelayanan ramah , letak di tengah kota , parkir luas",positive
13/09/2025,5,"Sangat ramah,harga bersahabat",positive
13/09/2025,5,"ga nyangka saya ada toko hape selengkap ini, pelayanannya juga sigap dan cekatan, senang membeli hape incaran saya disini",negative
13/09/2025,5,"Sudah langganan di sini sejak 15 tahun lalu, service ok, harga ok, lengkap juga, mantap",positive
07/09/2025,5,pelayanannya ramah dan harga jerjangkau dan tempatnya nyaman,positive
06/09/2025,5,Terkece drama kolosal Rama dan Sinta by tim tiga putra,negative
06/09/2025,5,Selamat ualang tahun TAM semoga tambah sukses,positive
06/09/2025,5,"Seru banget acaranya buat ngisi malming.. ,",positive
06/09/2025,5,Ramah ramah bgt orang nya dan pertunjukan nya bgs bgt,positive
06/09/2025,5,Acara Sendratari TAM Vaganza Tiga Putra Malang keren bangetttt ✨✨,positive
06/09/2025,5,"Pelayanannya ramah, mantap",positive
05/09/2025,5,pelayanan sangat baik,positive
04/09/2025,5,Pelayanan sangat baik dan ramahharga terjangkau include garansi toko terbaik,positive
04/09/2025,1,Gak masuk akal,negative
30/08/2025,5,"memuaskan, terimakasih",positive
30/08/2025,5,Layanan cepat dan ramah dengan harga bersaing jika membutuhkan handphone..,positive
30/08/2025,5,pelayanan mantapp abiss pokok e,positive
29/08/2025,5,Pelayanan sangat cepat dan memuaskan....ruangan sangat bagus dan nyaman....,positive
27/08/2025,5,Tadi sore sudah kesana beli HP pelayanan baik dan Rama terimahkasih,positive
27/08/2025,4,Pelayanan baik,positive
27/08/2025,5,Pelayan memuaskan,positive
25/08/2025,5,"Pelayanan sangat baik,mas2 dan mbak2 nya ramah.Pilihan hp nya jg banyak.",negative
24/08/2025,5,Pelayanan baik dan solutif,positive
24/08/2025,5,Pelayanan Ramah & Memuaskan,positive
24/08/2025,5,Good job,positive
24/08/2025,5,Baik,positive
24/08/2025,5,seruuuuu,positive
24/08/2025,5,mantap,positive
23/08/2025,5,Excellent for service,positive
23/08/2025,5,Makasih mb Gayatri sudah melayani dng baik dan ramah,positive
23/08/2025,5,Good service,positive
21/08/2025,5,Baik pelayanan&pramuniaganya,positive
20/08/2025,5,Keren. Pelayanan bagus banget. Cepet dan ramah,positive
19/08/2025,5,"Pelayanan Baik dan ramah, barang pastinya bagus, jangan ragu untuk beli di tiga putra, Top",positive
19/08/2025,5,Pelayanan terbaik,positive
19/08/2025,5,"Customer servicenya baik, welcome sekali dari pertama masuk.. Terimakasih atas pelayanannya yg sangat baik",positive
19/08/2025,5,Pelayanan nya ramah,positive
19/08/2025,5,"Pelayanan disini baik, pegawai nya juga ramah"", tempat nya nyaman",positive
18/08/2025,5,Pelayanan baik dan dibantu pindah data,negative
18/08/2025,5,"bagus pelayanannya oke, dan harga worth ITS sih, terimakasih tiga putra",positive
17/08/2025,5,Pelayanan baik dan ramah,positive
17/08/2025,5,Bagus dan memuaskan Pelayanan baik sekali,positive
16/08/2025,5,Pelayanan memuaskan,positive
16/08/2025,5,Tempatnya bagus pelayanannya lumayan bagus.,negative
16/08/2025,5,Pegawainya ramah dan tempatnya bersih,positive
16/08/2025,5,Mantap,positive
16/08/2025,5,Pelayanannya bagus.mbknya sangat membantu dan rekom,positive
14/08/2025,5,Pelayanan baik ramah kualitasnya terbaik,positive
13/08/2025,5,Best service bgt lah pokoknya!! Helpful,positive
13/08/2025,5,Karyawan nya sangat ramah dan Pelayanannya sangat memuaskan Terima kasih mbak dwi,positive
12/08/2025,5,pelayanan nya sangat baik dan ramah,positive
12/08/2025,5,Tempatnya gede pelayanan baik,negative
12/08/2025,5,"Pelayanan ramah dan cepat,suasana nyaman",positive
12/08/2025,5,"Baru pertama beli disini di bantu mas tama, pelayanan oke dan di bantu sampai tuntas. Terimakasih",positive
11/08/2025,5,"Tempat nyaman, pelayanan baik",positive
10/08/2025,5,Pelayanan ramah dan cepat Bisa direkomendasikan lagi,positive
10/08/2025,5,Makasi Mas Arifan dilayani dengan baik,positive
10/08/2025,5,Terbaaaeekkkkkkkkk humbleeeeee,positive
09/08/2025,5,"Tempatnya nyaman, pelayanan baik dan ramah",positive
09/08/2025,5,"Puas belanja di sini, pelayanan ramah dan edukatif",positive
08/08/2025,5,Pelayanan untuk customer bagus,positive
08/08/2025,5,"Pelayanan ny ramah, mbak nya baik banget memberikan penjelasan dan melayani dengan baik.. kalau untuk harga tergolong normal pada umum nya..",positive
08/08/2025,5,Murah meriah dan nyaman dilayani,positive
07/08/2025,5,Tiga putra pelayanan terbaik,positive
07/08/2025,5,"Nyaman,pegawai rama",positive
07/08/2025,5,"Pelayanannya memuaskan sangat"" membantu",positive
06/08/2025,5,Pelayanan oke harga bersaing,positive
05/08/2025,5,pelayanannya sangat baik,positive
05/08/2025,5,"Tiga Putra Kawi emang oke banget,,,mau beli HP apa aja ada,,apalagi karyawannya ramah2 dan baik2,,terutama Mbak Ria,,sangat membantu dalam menjelaskan produk HP serta ramah dan sopan..terimakasih Tiga Putra Kawi",positive
05/08/2025,5,Promotornya ramah dan menjelaskan produk dg sangat baik,positive
05/08/2025,5,Cepat pelayanan nya nyaman tempat nya,positive
05/08/2025,5,Pelayanan sangat baik dang rama,positive
05/08/2025,4,"Pelayanan ramah, baik, terpercaya",positive
05/08/2025,5,Terima kasih.. Mbaknya yg layani ramah banget...,positive
05/08/2025,5,Rekomen!,positive
04/08/2025,5,Tempatnya bagus. Karyawannya ramah. Saya datang langsung disambut dan dilayani full,negative
04/08/2025,5,"Pelayanan bagus, Banyak pilihan untuk produk gadget nya, Tempat juga nyaman bagi pengunjung. Parkir luas",positive
04/08/2025,5,Pelayanan mantap dibantu pindah data semua.. mantaps,negative
04/08/2025,5,Memuaskan dibantu pindah data sampe selesai,negative
04/08/2025,5,"Pelayanan nya terbaik, ramah ramah. Mengerti kebutuhan pelanggan, dan menguasai penjelasan spesifikasi produk yang dijual. Terimakasih",positive
03/08/2025,5,Penjelasan yg lengkap dan mantap .,positive
03/08/2025,5,Pelayannya baik sabar,positive
03/08/2025,5,pelayanan ramah sangat cepat dan menarik,positive
03/08/2025,5,Pelayanan cepat dan ramah,positive
03/08/2025,5,Pelayanan baik Penjelasan akan produk baik Pelayanan cepat,positive
03/08/2025,5,"Pelayanannya bagus, mas mas nya jelasinnya juga baik",positive
03/08/2025,5,Pelayanan ramah harga terjangkau,positive
03/08/2025,5,Tokonya bagus. p elayanan ramah dan back.,positive
03/08/2025,5,Pelayanan ramah barang lengkap,positive
03/08/2025,5,Seller ramah dan komunikatif. Pembayaran juga mudah,positive
03/08/2025,5,"Pelayanan cakep sih, recomended untuk yang ga hanya beli hp, tp kenyamanan service",positive
03/08/2025,5,Proses mudah dan cepat,positive
02/08/2025,5,Mantap pelayanan nya jos gandos,positive
02/08/2025,5,"Pelayanan bagus, ramah, puas",positive
02/08/2025,5,"Baguss sekalii sangat ramah dan detail dalam menjelaskan, terima kasih",positive
